;0;1;2;4;5;6;12;
0;0;177.909;171.668;163.9;219.147;181.059;193.163;
1;177.909;0;168.482;180.79;200.557;165.009;206.365;
2;171.668;168.482;0;132.053;164.936;166.516;147.605;
4;163.9;180.79;132.053;0;179.953;168.512;197.155;
5;219.147;200.557;164.936;179.953;0;219.335;182.93;
6;181.059;165.009;166.516;168.512;219.335;0;173.904;
12;193.163;206.365;147.605;197.155;182.93;173.904;0;
